conf_level,emp_conf,acds,pis,N
99.9%,0.9963133640552995,NaN,0.9986175115207374,35.519354838709674
99%,0.9907834101382488,1.0,0.9815668202764977,23.849769585253455
95%,0.9488479262672811,0.9849391372108288,0.6847926267281106,4.153456221198157
